Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),VSpd(m/s),Alt(m),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-22,08:32:08.180,-56,0,100,13,0,4,10,-70,92,13,8.2,3.1,661,97,0.0,3.0,-35.523507 149.068784,0.0,0.00,590,12,0,-13,-1024,-2,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,988,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:08.450,-56,0,100,13,0,4,50,-70,88,13,8.2,3.1,661,97,0.0,3.0,-35.523507 149.068784,0.0,0.00,590,12,-23,-13,-1018,-1,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,991,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:08.950,-52,0,99,14,0,4,25,-64,84,13,8.2,3.2,664,97,0.0,3.0,-35.523507 149.068784,0.0,0.00,590,12,2,-12,-1024,-1,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,988,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:09.450,-56,0,100,13,0,4,10,-73,84,14,8.2,3.2,664,97,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,5,-12,-1014,-1,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,993,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:09.950,-60,0,100,14,0,4,10,-71,88,8,8.2,3.2,664,97,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,3,-12,-929,-2,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,1036,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:10.450,-61,0,99,13,0,4,10,-67,84,14,8.2,3.2,664,97,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,84,-13,1024,-3,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,2012,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:10.950,-61,0,99,13,0,4,10,-68,84,14,8.2,3.2,664,97,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,1,-10,1024,-1,-891,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,2012,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:11.450,-58,0,100,13,0,4,10,-59,84,-3,8.2,3.2,664,97,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,1,-11,1024,0,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,2012,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:11.950,-53,0,100,13,0,4,10,-62,84,15,7.8,2.9,667,87,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,1,-9,1024,-2,-891,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,2012,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:32:12.450,-51,0,100,13,0,4,10,-60,84,13,7.8,2.9,667,87,0.1,3.0,-35.523507 149.068784,0.0,0.00,590,12,0,-8,1024,-6,-892,-1024,-1,-1,-1,-1,0,-1,0x0000000000000020,1480,1490,2012,1500,2012,1500,1470,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
