Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-22,08:06:05.450,-46,0,100,13,0,4,10,-41,100,13,8.4,66.5,2707,100,,0.0,0.00,0,0,1,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:05.680,-47,0,100,13,0,4,10,-45,100,13,8.4,66.6,2717,100,,0.0,0.00,0,0,-8,-14,-1024,-2,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:06.180,-47,0,100,13,0,4,10,-44,100,15,8.4,66.6,2730,100,,0.0,0.00,0,0,33,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:06.680,-48,0,100,13,0,4,10,-46,100,15,8.4,66.6,2730,100,,0.0,0.00,0,0,2,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:07.180,-46,0,100,13,0,4,10,-41,100,13,8.4,66.5,2742,100,,0.0,0.00,0,0,1,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:07.680,-46,0,100,13,0,4,10,-42,100,13,8.4,66.5,2754,100,,0.0,0.00,0,0,29,-14,-1024,-2,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:08.180,-45,0,100,13,0,4,10,-41,100,13,8.4,66.5,2766,100,,0.0,0.00,0,0,6,-14,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:08.680,-44,0,100,13,0,4,10,-39,100,13,8.4,66.6,2776,100,,0.0,0.00,0,0,2,-14,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:09.180,-44,0,100,13,0,4,10,-39,100,13,8.4,66.6,2776,100,,0.0,0.00,0,0,0,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:09.680,-44,0,100,13,0,4,10,-40,100,13,8.4,66.6,2788,100,,0.0,0.00,0,0,4,-13,-1024,0,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:10.180,-43,0,100,13,0,4,10,-39,100,14,8.4,66.6,2801,100,,0.0,0.00,0,0,14,-13,-1024,-1,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,988,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:10.680,-42,0,100,13,0,4,10,-39,100,13,8.4,66.5,2813,100,,0.0,0.00,0,0,5,-14,-1005,-1,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,998,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:11.180,-41,0,100,13,0,4,10,-38,100,15,8.4,66.5,2825,100,,0.0,0.00,0,0,5,-12,-1009,1,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,996,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:11.680,-41,0,100,13,0,4,10,-38,100,15,8.4,66.5,2825,100,,0.0,0.00,0,0,0,-12,-769,-3,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,1116,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:12.180,-41,0,100,14,0,4,10,-38,100,14,8.4,66.5,2837,100,,0.0,0.00,0,0,2,-9,1024,1,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:12.680,-41,0,100,13,0,4,10,-38,100,14,8.3,66.5,2847,99,,0.0,0.00,0,0,0,-3,1024,-1,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:13.180,-42,0,100,13,0,4,10,-39,100,13,7.9,66.2,2859,92,,0.0,0.00,0,0,0,-8,1024,-5,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:13.680,-43,0,100,13,0,4,10,-40,100,14,7.9,66.2,2859,92,,0.0,0.00,0,0,0,-8,1024,-8,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:14.180,-48,0,100,13,0,4,10,-50,100,14,7.9,66.1,2872,89,,0.0,0.00,0,0,0,10,1024,-4,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:14.680,-48,0,100,13,0,4,10,-53,100,14,7.8,66.1,2884,86,,0.0,0.00,0,0,0,-958,1024,124,-890,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1494,1105,2012,1500,2012,1500,1484,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:15.180,-57,0,100,13,0,4,10,-63,100,13,7.8,66.0,2896,85,,0.0,0.00,0,0,0,-76,1024,502,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1401,1500,2012,1500,2012,1500,1392,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-22,08:06:15.680,-63,0,100,14,0,4,10,-60,100,15,7.8,66.1,2906,85,,0.0,0.00,0,0,0,-777,1024,-28,-889,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1300,2012,1500,2012,1500,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
